Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Use of Public Internet Computers,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
1997,North Haven,New Haven,38,20902,77064,3.7,18844,0.9,7018,0.3,136879,6.5,73,2992,0.1,,101505,4.9,580185,27.76,548626,26.25,98770,381269,534963,25.6
1997,North Stonington-Wheeler,New London,96,4850,53700,11.1,2127,0.44,2720,0.6,42699,8.8,132,3570,0.7,,34463,7.1,86129,17.76,15000,3.09,16194,42603,79875,16.5
1997,Norwalk,Fairfield,44,79732,327600,4.1,72938,0.91,72020,0.9,521241,6.5,266,4826,0.1,,280956,3.5,2560903,32.12,2550649,31.99,391702,1652719,2198854,27.6
1997,"Norwalk, Rowayton",Fairfield,44,,,,4773,0.06,,,25700,0.3,82,1682,0,,33150,0.4,117275,1.47,96000,1.2,25866,74281,110511,1.4
1997,Norwich - Otis,New London,159,37479,127000,3.4,20765,0.55,18988,0.5,208907,5.6,98,2270,0.1,,93880,2.5,818212,21.83,627100,16.73,86145,498174,696910,18.6
1997,Old Lyme - Phoebe,New London,24,6681,58084,8.7,4117,0.62,3096,0.5,104258,15.6,311,3608,0.5,,35189,5.3,256038,38.32,125000,18.71,30681,165268,248945,37.3
1997,Old Saybrook - Acton,Middlesex,26,9501,135083,14.2,5067,0.53,5050,0.5,165264,17.4,152,7557,0.8,,56132,5.9,330730,34.81,313991,33.05,66076,180685,259471,27.3
1997,Orange - Case,New Haven,28,12456,47632,3.8,9714,0.78,7348,0.6,126435,10.2,37,624,0.1,,72503,5.8,323768,25.99,325430,26.13,91446,172271,309615,24.9
1997,Oxford,New Haven,87,9378,27000,2.9,8300,0.89,4000,0.4,46000,4.9,22,635,0.1,,35375,3.8,151671,16.17,133500,14.24,24000,160000,189115,20.2
1997,Plainfield - Aldrich,Windham,163,14557,10905,0.7,3202,0.22,3747,0.3,23551,1.6,36,1638,0.1,,29399,2,46100,3.17,41000,2.82,6610,27247,43951,3
1997,Plainville,Hartford,119,17044,100848,5.9,7417,0.44,10664,0.6,184551,10.8,400,12698,0.7,,89764,5.3,439877,25.81,381000,22.35,92511,270698,409052,24
1997,Plymouth - Terryville,Litchfield,144,11372,,,4046,0.36,4570,0.4,58749,5.2,305,3925,0.3,,47236,4.2,316564,27.84,273897,24.09,42708,166158,240169,21.1
1997,"Plymouth, Library Assn.",Litchfield,144,,4056,0.4,200,0.02,130,0,2101,0.2,2,7,0,,9590,0.8,22840,2.01,18000,1.58,3001,12000,15717,1.4
1997,Pomfret,Windham,105,3350,5720,1.7,1697,0.51,419,0.1,27696,8.3,44,436,0.1,,23725,7.1,41443,12.37,26594,7.94,9224,16490,34404,10.3
1997,Portland,Middlesex,93,8625,101238,11.7,5667,0.66,5167,0.6,177866,20.6,183,3911,0.5,,69481,8.1,492061,57.05,466777,54.12,59326,305034,433975,50.3
1997,Preston,New London,147,4934,18940,3.8,2167,0.44,1248,0.3,20914,4.2,106,1132,0.2,,18775,3.8,90913,18.43,80915,16.4,14712,48613,78244,15.9
1997,Prospect,New Haven,113,8131,21300,2.6,5800,0.71,2500,0.3,61839,7.6,17,472,0.1,,31678,3.9,202349,24.89,192861,23.72,35000,115762,167676,20.6
1997,Putnam,Windham,155,8846,24975,2.8,7172,0.81,8684,1,69136,7.8,43,555,0.1,,40875,4.6,256254,28.97,237850,26.89,25197,141153,195076,22.1
1997,Redding - Mark Twain,Fairfield,8,8169,42068,5.1,7900,0.97,1501,0.2,68106,8.3,166,2482,0.3,,38969,4.8,325471,39.84,158697,19.43,55194,156457,240693,29.5
