Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Use of Public Internet Computers,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
2000,Sprague,New London,150,2876,6708,2.3,2208,0.77,1327,0.5,9176,3.2,1,54,0,,15186,5.3,18406,6.4,16481,5.73,2230,,19358,6.7
1998,East Hampton,Middlesex,108,10994,43200,3.9,8015,0.73,4010,0.4,69742,6.3,225,3673,0.3,,40192,3.7,275941,25.1,266136,24.21,42828,200941,268888,24.5
1998,East Hampton - Middle,Middlesex,108,,3000,0.3,587,0.05,,,5982,0.5,38,250,0,,17345,1.6,23746,2.16,4500,0.41,5002,10765,20303,1.8
1998,East Hartford,Hartford,125,47700,188762,4,12857,0.27,33785,0.7,167376,3.5,316,8815,0.2,,203061,4.3,764095,16.02,746302,15.65,130000,517648,705377,14.8
1998,East Haven - Hagaman,New Haven,146,26563,79500,3,18800,0.71,15950,0.6,127693,4.8,1951,2895,0.1,,58176,2.2,546770,20.58,487094,18.34,69500,296535,426423,16.1
1998,East Lyme,New London,80,16170,70000,4.3,19964,1.23,17774,1.1,172664,10.7,,7813,0.5,,88556,5.5,711810,44.02,636413,39.36,113283,387638,601751,37.2
1998,East Windsor - Warehouse,Hartford,121,9892,29084,2.9,3289,0.33,,,51799,5.2,181,3453,0.3,,32898,3.3,276501,27.95,90500,9.15,27333,150815,228046,23.1
1998,Eastford,Windham,138,1425,5559,3.9,500,0.35,200,0.1,11403,8,1,40,0,,11276,7.9,23828,16.72,23000,16.14,6073,13161,22004,15.4
1998,Easton,Fairfield,13,6573,55600,8.5,2931,0.45,8574,1.3,77514,11.8,101,2921,0.4,,39298,6,308370,46.91,282732,43.01,52345,156697,252323,38.4
1998,Ellington - Hall,Tolland,116,11588,86073,7.4,9124,0.79,5267,0.5,103069,8.9,130,3154,0.3,,43194,3.7,344769,29.75,308167,26.59,37014,171103,249817,21.6
1998,Enfield,Hartford,131,43136,211800,4.9,19149,0.44,31824,0.7,275157,6.4,393,6358,0.1,,142428,3.3,792400,18.37,771883,17.89,105000,576158,752223,17.4
1998,Essex,Middlesex,30,6133,38000,6.2,4100,0.67,5545,0.9,46832,7.6,18,930,0.2,,25392,4.1,295131,48.12,57000,9.29,26274,100495,152074,24.8
1998,Fairfield,Fairfield,26,53491,598400,11.2,47921,0.9,86350,1.6,765934,14.3,536,20654,0.4,,274165,5.1,2834269,52.99,2834268,52.99,457066,1536786,2213048,41.4
1998,Fairfield - Pequot,Fairfield,26,,92430,1.7,1702,0.03,4910,0.1,65404,1.2,192,6951,0.1,,141504,2.6,687401,12.85,245000,4.58,68280,246729,436606,8.2
1998,Farmington,Hartford,24,20775,203914,9.8,12600,0.61,48193,2.3,341932,16.5,895,21569,1,,165434,8,1669603,80.37,1405693,67.66,173211,916916,1302724,62.7
1998,Glastonbury - Wells-T.,Hartford,39,28275,206176,7.3,15562,0.55,16319,0.6,334491,11.8,146,2832,0.1,,120448,4.3,932067,32.96,824395,29.16,155640,528949,785932,27.8
1998,"Glastonbury, East",Hartford,39,,11500,0.4,819,0.03,106,0,17104,0.6,234,3761,0.1,,17331,0.6,19938,0.71,5000,0.18,8949,,13996,0.5
1998,Goshen,Litchfield,31,2439,,,1781,0.73,1929,0.8,19079,7.8,5,465,0.2,,34020,13.9,62292,25.54,48372,19.83,12678,36858,59524,24.4
1998,Granby,Hartford,68,9399,68711,7.3,5500,0.59,13600,1.4,129241,13.8,195,3711,0.4,,64700,6.9,288982,30.75,288982,30.75,37908,227524,288982,30.7
1998,Greenwich,Fairfield,1,58343,497478,8.5,46479,0.8,227352,3.9,991850,17,,60810,1,,335944,5.8,4499478,77.12,4949210,84.83,761424,3009494,4347638,74.5
1998,Greenwich - Perrot,Fairfield,1,,,,,,7630,0.1,153659,2.6,,,,,57702,1,813182,13.94,804528,13.79,115548,563525,912386,15.6
1998,Griswold - Slater,New London,160,14586,25220,1.7,3894,0.27,2384,0.2,21275,1.5,21,730,0.1,,19366,1.3,119901,8.22,75153,5.15,9902,34315,71770,4.9
1998,Groton,New London,140,42922,400140,9.3,32979,0.77,56992,1.3,351386,8.2,386,9814,0.2,,128271,3,1435012,33.43,1394106,32.48,211339,1086647,1426225,33.2
1998,Groton - Bill,New London,140,42922,13000,0.3,500,0.01,,,16200,0.4,,,,,17650,0.4,106929,2.49,5000,0.12,15392,52795,108669,2.5
1998,Groton - Mystic,New London,140,,60000,1.4,6479,0.15,,,102559,2.4,89,,,,45087,1.1,344459,8.03,135475,3.16,39288,170152,248538,5.8
1998,Guilford,New Haven,44,19923,,,15895,0.8,42000,2.1,240688,12.1,,,,,117241,5.9,764256,38.36,648128,32.53,83200,560047,726518,36.5
1998,Haddam - Brainerd,Middlesex,17,7153,35100,4.9,4000,0.56,,,20206,2.8,55,1163,0.2,,22415,3.1,107961,15.09,79949,11.18,15000,50000,95635,13.4
1998,Hamden,New Haven,110,53165,353061,6.6,38752,0.73,13284,0.2,454688,8.6,209,5056,0.1,,169327,3.2,1488763,28,1420581,26.72,212331,1083489,1485012,27.9
1998,Hampton - Fletcher,Windham,127,1600,2600,1.6,,,,,4822,3,,,,,21115,13.2,13745,8.59,4000,2.5,3254,1925,7817,4.9
1998,Hartford,Hartford,164,132036,619027,4.7,47950,0.36,350963,2.7,604205,4.6,1999,61320,0.5,,519208,3.9,5806869,43.98,5062507,38.34,574766,4232991,5509573,41.7
1998,Hartland,Hartford,92,1920,400,0.2,,,,,620,0.3,,,,,4067,2.1,2561,1.33,1250,0.65,2009,,4484,2.3
1998,Harwinton,Litchfield,74,5353,20000,3.7,2715,0.51,861,0.2,39185,7.3,112,1867,0.3,,26540,5,88250,16.49,78085,14.59,19052,61189,87937,16.4
1998,Hebron - Douglas,Tolland,103,7789,26601,3.4,4587,0.59,,,45936,5.9,,,,,25951,3.3,211076,27.1,95000,12.2,20086,94287,140151,18
1998,Kent,Litchfield,32,3064,35000,11.4,2000,0.65,900,0.3,26912,8.8,159,2024,0.7,,22474,7.3,101800,33.22,55000,17.95,16574,47534,78291,25.6
1998,Killingly,Windham,147,16127,119250,7.4,6137,0.38,4811,0.3,128337,8,148,3313,0.2,,47761,3,460592,28.56,416383,25.82,56162,239953,396712,24.6
1998,Killingworth,Middlesex,76,5449,26333,4.8,3401,0.62,1455,0.3,40734,7.5,94,1122,0.2,,24505,4.5,178158,32.7,80000,14.68,39313,55471,134887,24.8
1998,Lebanon - JonTrumbull,New London,123,6392,55000,8.6,4800,0.75,1700,0.3,55606,8.7,57,1709,0.3,,42971,6.7,103325,16.16,76000,11.89,23768,50151,83991,13.1
1998,Ledyard,New London,122,14839,95620,6.4,7542,0.51,10807,0.7,164234,11.1,393,8867,0.6,,74877,5,457742,30.85,435922,29.38,80732,265092,410035,27.6
1998,Litchfield - OWL,Litchfield,57,8627,33290,3.9,3362,0.39,2738,0.3,64326,7.5,,1770,0.2,,48667,5.6,330621,38.32,142163,16.48,39153,160428,265178,30.7
1998,Lyme,New London,12,2013,11648,5.8,971,0.48,958,0.5,14122,7,50,476,0.2,,25400,12.6,99763,49.56,66366,32.97,14978,51752,76766,38.1
1998,Madison - E.C.Scranton,New Haven,27,15956,,,12051,0.76,,,191440,12,326,6197,0.4,,84032,5.3,742445,46.53,605356,37.94,111576,326189,512642,32.1
1998,Manchester,Hartford,119,51259,364098,7.1,23979,0.47,41144,0.8,692098,13.5,446,12610,0.2,,181105,3.5,1787729,34.88,1724515,33.64,218968,993015,1323535,25.8
1998,Mansfield,Tolland,168,19069,98805,5.2,3900,0.2,5592,0.3,182819,9.6,226,5027,0.3,,57698,3,417318,21.88,377680,19.81,72042,289191,408780,21.4
1998,Marlborough-Richmond,Hartford,93,5623,50714,9,4042,0.72,2645,0.5,106061,18.9,54,4036,0.7,,29493,5.2,210818,37.49,167942,29.87,40719,107580,196015,34.9
1998,Meriden,New Haven,153,57009,275000,4.8,44423,0.78,76682,1.3,414642,7.3,445,36980,0.6,,218206,3.8,1478850,25.94,1455418,25.53,145200,1070472,1308032,22.9
1998,Middlebury,New Haven,33,6001,47000,7.8,4861,0.81,6950,1.2,80826,13.5,266,3837,0.6,,47760,8,210470,35.07,207363,34.55,45000,123045,192370,32.1
1998,Middlefield - Levi Coe,Middlesex,85,4076,21996,5.4,3665,0.9,1676,0.4,31041,7.6,184,3052,0.7,,23806,5.8,142399,34.94,129945,31.88,14639,74325,116322,28.5
1998,Middletown - Russell,Middlesex,97,43498,316798,7.3,30968,0.71,54407,1.3,529883,12.2,478,16806,0.4,,190444,4.4,2148415,49.39,1976896,45.45,257543,1497046,1967460,45.2
1998,Milford,New Haven,82,49619,,,22544,0.45,41586,0.8,238581,4.8,31,5655,0.1,,145322,2.9,738419,14.88,711453,14.34,113617,557832,735487,14.8
1998,Monroe - Edith Wheeler,Fairfield,60,17982,127121,7.1,11162,0.62,16272,0.9,159272,8.9,183,5319,0.3,,73449,4.1,425842,23.68,403154,22.42,73154,286033,437299,24.3
1998,Montville - Raymond,New London,124,17139,24180,1.4,8850,0.52,2378,0.1,34562,2,6,181,0,,24088,1.4,56786,3.31,21000,1.23,8895,34251,48026,2.8
1998,Morris,Litchfield,49,2111,15000,7.1,1050,0.5,584,0.3,26485,12.5,67,913,0.4,,15131,7.2,68498,32.45,46302,21.93,9447,45651,59563,28.2
1998,Naugatuck - Howard W.,New Haven,151,30226,173438,5.7,11474,0.38,15437,0.5,93154,3.1,245,4412,0.1,,61530,2,573452,18.97,450000,14.89,53623,292845,484327,16
1998,New Britain,Hartford,166,70948,276299,3.9,23987,0.34,37856,0.5,341156,4.8,1481,29756,0.4,,259661,3.7,2165841,30.53,2075000,29.25,202452,1423989,1829907,25.8
1998,New Canaan,Fairfield,3,17921,332384,18.5,17261,0.96,37438,2.1,368955,20.6,851,18967,1.1,,152106,8.5,1385439,77.31,1152607,64.32,203739,811192,1198374,66.9
1998,New Fairfield,Fairfield,47,13370,88512,6.6,12394,0.93,,,152334,11.4,199,5922,0.4,,50288,3.8,333997,24.98,318557,23.83,60619,231310,329500,24.6
1998,New Hartford-Bakerville,Litchfield,78,,6775,1.1,875,0.14,,,14870,2.4,39,495,0.1,,10757,1.8,38568,6.34,30000,4.93,9907,11387,25041,4.1
1998,New Hartford-Licia M.B.,Litchfield,78,6083,51660,8.5,4435,0.73,,,62379,10.3,175,4000,0.7,,27446,4.5,338028,55.57,137519,22.61,63840,148314,253212,41.6
1998,New Haven,New Haven,165,124269,243608,2,33145,0.27,174070,1.4,194947,1.6,1195,36914,0.3,,625107,5,3327641,26.78,3170145,25.51,424065,2199504,3023613,24.3
1998,New London,New London,162,25263,281918,11.2,24166,0.96,31119,1.2,157683,6.2,397,7866,0.3,,81678,3.2,522553,20.68,478600,18.94,57096,244602,374102,14.8
1998,New Milford,Litchfield,64,25343,227032,9,11742,0.46,17379,0.7,228117,9,486,11401,0.4,,86607,3.4,815679,32.19,705100,27.82,150017,446117,710974,28.1
1998,Newington - LucyWelles,Hartford,91,28156,310688,11,14289,0.51,50794,1.8,431863,15.3,562,19798,0.7,,113073,4,1201909,42.69,1172073,41.63,170541,800151,1069142,38
1998,Newtown - Cyr.Booth,Fairfield,41,22504,104000,4.6,16968,0.75,41273,1.8,85305,3.8,361,9017,0.4,,79033,3.5,551458,24.5,371057,16.49,64474,246983,397805,17.7
1998,Norfolk,Litchfield,52,2047,23793,11.6,1263,0.62,,,32915,16.1,140,,,,27309,13.3,174979,85.48,1000,0.49,20795,78942,137508,67.2
1998,North Branford,New Haven,101,13717,49400,3.6,8372,0.61,4901,0.4,120802,8.8,187,,,,62180,4.5,405166,29.54,385818,28.13,68720,232971,341199,24.9
1998,North Canaan - Douglas,Litchfield,107,3472,8476,2.4,3732,1.07,424,0.1,17395,5,,,,,18680,5.4,97129,27.97,42435,12.22,7091,27216,44682,12.9
1998,North Haven,New Haven,38,22020,88244,4,19200,0.87,11331,0.5,149007,6.8,4060,3205,0.1,,102248,4.6,637042,28.93,615488,27.95,92857,415320,564882,25.7
2002,Woodbury,Litchfield,46,9348,,,5500,0.59,,,,,,,,,71411,7.6,468369,50.1,462009,49.42,65012,295697,429925,46
1998,North Stonington-Wheeler,New London,105,4987,54000,10.8,2555,0.51,2815,0.6,40313,8.1,132,3570,0.7,,35044,7,78582,15.76,15000,3.01,11917,43936,74337,14.9
1998,Norwalk,Fairfield,40,77937,328800,4.2,78158,1,55037,0.7,468559,6,429,10324,0.1,,284584,3.7,2619069,33.6,2608164,33.47,311960,1675860,2174304,27.9
1998,"Norwalk, Rowayton",Fairfield,40,,,,4522,0.06,,,31045,0.4,40,1464,0,,33654,0.4,125579,1.61,96000,1.23,24298,74460,112134,1.4
1998,Norwich - Otis,New London,157,38546,125000,3.2,19591,0.51,18974,0.5,203612,5.3,119,2269,0.1,,96012,2.5,857794,22.25,663000,17.2,81545,523334,700936,18.2
1998,Old Lyme - Phoebe,New London,22,6569,79352,12.1,5298,0.81,2238,0.3,74323,11.3,338,3629,0.6,,37356,5.7,552821,84.16,130000,19.79,33475,197055,296741,45.2
1998,Old Saybrook - Acton,Middlesex,25,9730,145787,15,5177,0.53,5055,0.5,171830,17.7,140,3212,0.3,,58064,6,342710,35.22,336325,34.57,69171,194401,280774,28.9
1998,Orange - Case,New Haven,29,12440,63222,5.1,9943,0.8,11856,1,118885,9.6,42,801,0.1,,72758,5.8,336168,27.02,350026,28.14,84162,180845,316183,25.4
1998,Oxford,New Haven,86,9019,27000,3,8450,0.94,4000,0.4,46000,5.1,70,707,0.1,,39375,4.4,158856,17.61,138500,15.36,24000,107183,136183,15.1
1998,Plainfield - Aldrich,Windham,161,14554,11016,0.8,3677,0.25,3167,0.2,40675,2.8,78,1209,0.1,,27740,1.9,68989,4.74,44000,3.02,9629,36170,59246,4.1
1998,Plainville,Hartford,115,16779,100848,5.9,7046,0.42,10886,0.6,173861,10.4,331,13919,0.8,,93018,5.5,459515,27.39,399557,23.81,92295,282146,433640,25.8
1998,Plymouth - Terryville,Litchfield,136,12069,,,4027,0.33,4627,0.4,61544,5.1,323,4179,0.3,,49030,4.1,297149,24.62,283471,23.49,44924,170856,250993,20.8
1998,"Plymouth, Library Assn.",Litchfield,136,,,,,,,,2380,0.2,,,,,9819,0.8,18645,1.54,18350,1.52,1500,14750,16450,1.4
1998,Pomfret,Windham,102,3344,6656,2,1787,0.53,454,0.1,15808,4.7,45,,,,24455,7.3,35804,10.71,26941,8.06,8920,17427,30108,9
1998,Portland,Middlesex,96,8823,104001,11.8,4798,0.54,5276,0.6,168451,19.1,166,2877,0.3,,64678,7.3,521334,59.09,492426,55.81,68437,326013,459360,52.1
1998,Preston,New London,149,5116,17451,3.4,2153,0.42,800,0.2,25047,4.9,46,486,0.1,,21996,4.3,93796,18.33,87384,17.08,14387,48446,78596,15.4
1998,Prospect,New Haven,111,8111,26350,3.2,7300,0.9,6360,0.8,66671,8.2,13,398,0,,34463,4.2,209760,25.86,202967,25.02,35000,120911,177460,21.9
1998,Putnam,Windham,159,8971,25234,2.8,6927,0.77,7211,0.8,57479,6.4,109,379,0,,41027,4.6,289189,32.24,243537,27.15,30462,146033,198977,22.2
1998,Redding - Mark Twain,Fairfield,9,8067,47060,5.8,3374,0.42,687,0.1,63153,7.8,179,2961,0.4,,39981,5,293698,36.41,162823,20.18,51263,158195,236920,29.4
1998,Ridgefield,Fairfield,10,21666,286145,13.2,15355,0.71,16294,0.8,282374,13,666,18938,0.9,,104193,4.8,1148900,53.03,915000,42.23,159525,612091,944703,43.6
1998,Rocky Hill-Cora Belden,Hartford,72,16377,157453,9.6,8075,0.49,19644,1.2,216731,13.2,275,6795,0.4,,72728,4.4,641059,39.14,624593,38.14,119360,461164,638481,39
1998,Roxbury - Minor,Litchfield,11,1982,24933,12.6,,,4201,2.1,39983,20.2,383,,,,44836,22.6,116988,59.03,83819,42.29,23967,54130,93728,47.3
1998,Salem,New London,106,3557,15080,4.2,2735,0.77,150,0,28090,7.9,73,1466,0.4,,15205,4.3,48523,13.64,41351,11.63,7819,22438,39439,11.1
1998,Salisbury - Scoville,Litchfield,14,4131,39000,9.4,2652,0.64,2785,0.7,51427,12.4,88,1682,0.4,,32670,7.9,257344,62.3,45000,10.89,31444,133845,205637,49.8
1998,Scotland,Windham,133,1397,2577,1.8,642,0.46,84,0.1,3796,2.7,6,69,0,,9668,6.9,12270,8.78,8935,6.4,1978,8314,11808,8.5
1998,Seymour,New Haven,120,14150,52346,3.7,8347,0.59,2847,0.2,80650,5.7,51,2077,0.1,,48291,3.4,373311,26.38,298082,21.07,30122,192493,272148,19.2
1998,Sharon - Hotchkiss,Litchfield,20,2979,8000,2.7,2791,0.94,,,22668,7.6,40,400,0.1,,23790,8,80892,27.15,2500,0.84,14440,53524,84635,28.4
1998,Shelton - Plumb,Fairfield,67,37159,121732,3.3,15268,0.41,16604,0.4,246290,6.6,212,4029,0.1,,144457,3.9,743045,20,696460,18.74,126410,491549,732677,19.7
1998,Sherman,Fairfield,15,2943,32314,11,1808,0.61,780,0.3,40896,13.9,165,2199,0.7,,22376,7.6,97980,33.29,69371,23.57,16577,52132,84393,28.7
1998,Simsbury,Hartford,37,21610,274308,12.7,14597,0.68,40860,1.9,408223,18.9,473,16452,0.8,,135573,6.3,839423,38.84,831158,38.46,128388,550778,779154,36.1
1998,Somers,Tolland,118,9414,71405,7.6,3767,0.4,6725,0.7,84642,9,178,2968,0.3,,42043,4.5,281052,29.85,260216,27.64,38946,156692,232320,24.7
1998,South Windsor,Hartford,70,22325,167760,7.5,11069,0.5,19287,0.9,203729,9.1,257,5723,0.3,,101726,4.6,872143,39.07,860130,38.53,97141,452312,627648,28.1
1998,"South Windsor, Wood",Hartford,70,,6689,0.3,300,0.01,50,0,2950,0.1,32,2557,0.1,,14318,0.6,93347,4.18,7500,0.34,3793,36203,126665,5.7
1998,Southbury,New Haven,42,16320,206440,12.6,9129,0.56,18304,1.1,201383,12.3,210,5834,0.4,,79224,4.9,500885,30.69,442568,27.12,105015,266588,419297,25.7
1998,Southington,Hartford,84,38091,300354,7.9,18625,0.49,105003,2.8,290789,7.6,194,8015,0.2,,149808,3.9,809506,21.25,778691,20.44,106361,540765,724679,19
1998,Sprague,New London,148,2980,6636,2.2,2158,0.72,416,0.1,9131,3.1,1,35,0,,15100,5.1,11276,3.78,9150,3.07,2140,6131,8524,2.9
1998,Stafford,Tolland,141,11567,39416,3.4,6463,0.56,1704,0.1,39437,3.4,90,1845,0.2,,40113,3.5,250254,21.64,173000,14.96,32775,113087,167941,14.5
1998,Stamford - Ferguson,Fairfield,28,109997,592328,5.4,55942,0.51,237445,2.2,842996,7.7,742,30058,0.3,,449568,4.1,5775209,52.5,5486000,49.87,722982,3121790,4866277,44.2
1998,Sterling,Windham,137,2757,9025,3.3,1477,0.54,1743,0.6,34188,12.4,20,704,0.3,,15659,5.7,45403,16.47,43400,15.74,9673,18761,42218,15.3
1998,Stonington,New London,54,16953,20280,1.2,4762,0.28,260,0,53230,3.1,395,6646,0.4,,28355,1.7,183585,10.83,66175,3.9,25281,94895,159409,9.4
1998,Stratford,Fairfield,95,49068,180677,3.7,40448,0.82,84309,1.7,346965,7.1,2196,49504,1,,156159,3.2,2168182,44.19,1992083,40.6,203232,1124944,1533360,31.2
1998,Suffield - Kent,Hartford,61,11128,111624,10,5306,0.48,7000,0.6,139459,12.5,191,4519,0.4,,77023,6.9,395611,35.55,327292,29.41,53055,196209,294979,26.5
1998,Thomaston,Litchfield,114,7304,65000,8.9,3883,0.53,5000,0.7,93824,12.8,250,6000,0.8,,53037,7.3,261751,35.84,240489,32.93,42836,145819,235835,32.3
1998,Thompson,Windham,156,9019,45617,5.1,5604,0.62,3075,0.3,71649,7.9,184,2172,0.2,,41203,4.6,223049,24.73,214109,23.74,39579,136777,214109,23.7
1998,Tolland,Tolland,108,12063,84495,7,5656,0.47,23669,2,117688,9.8,172,1596,0.1,,47991,4,246218,20.41,237094,19.65,37648,175859,268789,22.3
1998,Torrington,Litchfield,135,34668,29640,0.9,10788,0.31,,,88125,2.5,83,1379,0,,63544,1.8,304028,8.77,,,46886,153559,238440,6.9
1998,Trumbull,Fairfield,35,33274,243457,7.3,25397,0.76,10754,0.3,334137,10,372,5462,0.2,,156144,4.7,999278,30.03,985181,29.61,122024,669050,896708,26.9
1998,Union,Tolland,104,662,3700,5.6,208,0.31,25,0,4705,7.1,10,50,0.1,,11662,17.6,26337,39.78,23686,35.78,7535,9271,21484,32.5
1998,Vernon - Rockville,Tolland,128,29580,81634,2.8,9235,0.31,7313,0.2,118546,4,137,4286,0.1,,48557,1.6,623112,21.07,100000,3.38,79894,274923,479290,16.2
1998,Voluntown,New London,150,2248,1300,0.6,375,0.17,32,0,2649,1.2,3,18,0,,5043,2.2,11734,5.22,10245,4.56,2968,5285,9519,4.2
1998,Wallingford,New Haven,99,40671,263848,6.5,36196,0.89,99008,2.4,463421,11.4,463,17427,0.4,,191264,4.7,1643698,40.41,1531586,37.66,244452,894501,1331635,32.7
1998,Warren,Litchfield,23,1293,5505,4.3,560,0.43,100,0.1,5466,4.2,40,752,0.6,,12256,9.5,24704,19.11,13500,10.44,4769,12562,21365,16.5
1998,Washington - Gunn,Litchfield,18,4045,25168,6.2,3712,0.92,5200,1.3,43647,10.8,160,2232,0.6,,33948,8.4,246122,60.85,42000,10.38,26495,110870,211764,52.4
1998,Waterbury - Silas Bron.,New Haven,163,106082,283953,2.7,49638,0.47,68924,0.6,207202,2,364,17219,0.2,,388471,3.7,2056085,19.38,1813144,17.09,234248,1544243,1976429,18.6
1998,Waterford,New London,7,18128,,,11307,0.62,15962,0.9,239953,13.2,374,7225,0.4,,111430,6.1,1056917,58.3,1030039,56.82,138401,693759,882597,48.7
1998,Watertown,Litchfield,109,21556,73424,3.4,11158,0.52,37723,1.8,131916,6.1,122,2859,0.1,,66811,3.1,599463,27.81,550000,25.51,77919,306091,466208,21.6
1998,West Hartford,Hartford,46,56349,528615,9.4,29158,0.52,177139,3.1,853992,15.2,1107,31490,0.6,,303696,5.4,2789562,49.51,2758597,48.96,391372,1643410,2170418,38.5
1998,West Haven,New Haven,158,51996,150124,2.9,27506,0.53,13051,0.3,230155,4.4,120,6651,0.1,,149906,2.9,1118563,21.51,1092857,21.02,132752,611318,840330,16.2
1998,Westbrook,Middlesex,34,5554,39000,7,3500,0.63,4238,0.8,67623,12.2,123,2284,0.4,,39782,7.2,246827,44.44,215773,38.85,37184,138687,214191,38.6
1998,Weston,Fairfield,5,8778,,,,,,,114608,13.1,293,7594,0.9,,54887,6.3,314499,35.83,270414,30.81,56392,175440,247161,28.2
1998,Westport,Fairfield,4,24172,397000,16.4,13223,0.55,61862,2.6,300899,12.4,264,7448,0.3,,188595,7.8,2488055,102.93,2302070,95.24,304526,1519450,2147792,88.9
1998,Wethersfield,Hartford,63,24985,202774,8.1,11023,0.44,22485,0.9,194536,7.8,140,4168,0.2,,143457,5.7,806146,32.27,795845,31.85,106808,530170,722598,28.9
1998,Willington,Tolland,143,6153,14299,2.3,4397,0.71,4132,0.7,20994,3.4,6,674,0.1,,14884,2.4,64075,10.41,56642,9.21,18023,36408,60349,9.8
1998,Wilton,Fairfield,6,16320,217100,13.3,,,28699,1.8,220741,13.5,297,6119,0.4,,126091,7.7,1240175,75.99,929813,56.97,150133,639600,969729,59.4
1998,Winchester - Beardsley,Litchfield,132,16423,54234,3.3,7168,0.44,3939,0.2,61709,3.8,39,,,,43046,2.6,222849,13.57,128000,7.79,27767,101849,157021,9.6
1998,Windham - Guilford Sm,Windham,167,,4940,0.2,907,0.04,75,0,7795,0.4,37,571,0,,9488,0.4,26869,1.24,1000,0.05,5151,15152,43559,2
1998,Windham - Willimantic,Windham,167,23521,130000,5.5,13499,0.57,1200,0.1,78143,3.3,113,1880,0.1,,61577,2.6,443325,18.85,409813,17.42,82647,266760,397443,16.9
1998,Windsor,Hartford,73,27446,252019,9.2,16823,0.61,30545,1.1,319053,11.6,531,12307,0.4,,127761,4.7,1141460,41.59,973960,35.49,105490,570925,807777,29.4
1998,Windsor Locks,Hartford,59,11979,,,5432,0.45,,,43006,3.6,51,1284,0.1,,54720,4.6,293967,24.54,260000,21.7,34711,140176,216295,18.1
1998,Wolcott,New Haven,117,14099,60684,4.3,4829,0.34,,,90299,6.4,191,2150,0.2,,53948,3.8,268160,19.02,268160,19.02,45725,144365,236401,16.8
1998,Woodbridge,New Haven,16,8028,,,,,7976,1,159703,19.9,287,4206,0.5,,64409,8,513537,63.97,471656,58.75,88258,302958,438208,54.6
1998,Woodbury,Litchfield,45,8544,,,7341,0.86,16087,1.9,109591,12.8,327,6798,0.8,,65636,7.7,355577,41.62,344619,40.33,63902,196129,317665,37.2
1998,Woodstock - Bracken,Windham,98,6523,3300,0.5,2534,0.39,,,15121,2.3,40,1200,0.2,,16932,2.6,13913,2.13,9375,1.44,5878,5832,14056,2.2
1999,Andover,Tolland,109,2850,8500,3,1263,0.44,344,0.1,16112,5.7,61,1058,0.4,,15790,5.5,70201,24.63,66422,24.24,9487,41449,56876,20
1999,Ansonia,New Haven,157,17716,,,10412,0.59,,,88608,5,254,6782,0.4,,72751,4.1,421029,23.77,365732,20.54,65444,235519,384968,21.7
1999,Ashford-Babcock,Windham,148,3941,13912,3.5,1847,0.47,481,0.1,27559,7,72,1466,0.4,,25738,6.5,127175,32.27,122470,31.23,19061,74866,104964,26.6
1999,Avon,Hartford,18,14093,168961,12,8845,0.63,19004,1.3,227671,16.2,390,10484,0.7,,78718,5.6,879079,62.38,790587,57.6,104362,462227,679822,48.2
1999,Beacon Falls,New Haven,126,5198,4120,0.8,1529,0.29,518,0.1,7305,1.4,43,1055,0.2,,8331,1.6,45720,8.8,45720,8.9,7380,29375,39845,7.7
1999,Berlin-Peck,Hartford,54,17246,82056,4.8,7457,0.43,10242,0.6,232022,13.5,438,8898,0.5,,84527,4.9,667882,38.73,687631,40.3,103334,369753,542642,31.5
1999,Bethany - Clark,New Haven,53,4830,19300,4,3750,0.78,700,0.1,45434,9.4,45,455,0.1,,36197,7.5,78314,16.21,64637,13.67,16562,36169,58900,12.2
1999,Bethel,Fairfield,74,17874,148330,8.3,12978,0.73,13247,0.7,131941,7.4,190,5164,0.3,,88746,5,505087,28.26,505618,28.47,120577,296362,504472,28.2
1999,Bethlehem,Litchfield,66,3259,18979,5.8,3173,0.97,2407,0.7,30976,9.5,136,1348,0.4,,24217,7.4,90516,27.77,71322,21.88,8337,41712,61099,18.7
1999,Bloomfield - Prosser,Hartford,63,19000,,,9013,0.47,15139,0.8,213364,11.2,637,12598,0.7,,126893,6.7,1022336,53.81,951639,50.08,125890,671379,903475,47.6
1999,Bolton - Bentley,Tolland,85,4753,,,2512,0.53,1649,0.3,43736,9.2,100,1403,0.3,,39268,8.3,152118,32,149136,31.74,37535,105487,150537,31.7
1999,Branford - Blackstone,New Haven,52,27146,65263,2.4,,,59000,2.2,162587,6,597,18463,0.7,,87789,3.2,811717,29.9,572971,21.04,61728,456495,632800,23.3
1999,Branford - Willoughby,New Haven,52,,8250,0.3,4620,0.17,1500,0.1,45000,1.7,39,6650,0.2,,21000,0.8,134934,4.97,130902,4.81,25800,80645,129277,4.8
